,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:plant-based-foods-and-beverages,544.0,1.2,0.3,4.0,0.0970000000000001,0.0381889763779528,50.0,56.0,2.7,2.4,55.0
en:plant-based-foods,544.0,1.2,0.3,4.0,0.0970000000000001,0.0381889763779528,50.0,56.0,2.7,2.4,55.0
en:beverages,121.0,0.0,0.0,8.5,0.01,0.00393700787401575,50.0,43.0,0.0,0.1,47.0
en:sugary-snacks,1929.0,22.0,10.5,34.4,0.3,0.118110236220472,15.0,13.0,2.6,6.1,13.4
en:dairies,623.0,8.0,5.0,4.0,0.15,0.0590551181102362,7.0,8.0,0.0,4.3,8.0
en:non-alcoholic-beverages,159.0,0.0,0.0,8.3,0.01,0.00393700787401575,50.0,51.0,0.0,0.2,50.0
en:fruits-and-vegetables-based-foods,247.0,0.4,0.1,10.7,0.0508,0.02,60.0,60.0,2.0,0.9,60.0
en:cereals-and-potatoes,1494.0,3.6,0.7,3.0,0.5399999999999989,0.21259842519685,3.4,12.0,4.0,8.7,10.0
en:meals,619.0,6.2,1.5,1.9,0.9,0.3543307086614171,36.75,32.7,1.6,6.7,33.6
en:fermented-foods,941.0,18.0,12.0,2.8,0.6,0.23622047244094502,8.0,8.0,0.0,9.0,8.0
en:fermented-milk-products,949.0,18.0,12.0,2.8,0.6,0.23622047244094502,8.0,8.0,0.0,9.0,8.0
en:biscuits-and-cakes,1895.0,21.0,9.1,30.0,0.55,0.216535433070866,12.0,10.0,2.4,6.0,10.0
en:spreads,1079.0,9.5,1.5,38.1,0.1,0.0393700787401575,50.0,55.0,1.2,0.7,55.0
en:cereals-and-their-products,1499.0,2.5,0.6,3.1,0.1,0.0393700787401575,6.0,14.0,3.6,9.5,13.0
en:groceries,485.0,4.5,0.7,4.0,1.7,0.669291338582677,4.0,60.5,1.0,1.4,56.2
en:desserts,561.0,4.59,2.4,17.7,0.1016,0.04,45.0,44.8,1.3,3.2,44.9
en:breakfasts,1301.0,0.7,0.2,45.8,0.0499999999999999,0.0196850393700787,50.0,55.0,3.9,1.0,55.0
en:plant-based-beverages,176.0,0.03,0.0,9.0,0.01,0.00393700787401575,50.0,50.0,0.2,0.4,50.0
en:meats,926.0,15.0,5.5,0.7,1.8,0.708661417322835,0.0,6.7,0.4,19.0,3.0
en:fruits-based-foods,680.0,0.3,0.06,40.0,0.01,0.00393700787401575,61.0,60.0,1.8,0.5,60.0
en:frozen-foods,697.0,6.7,2.5,3.1,0.34,0.133858267716535,43.5,37.0,1.6,4.2,37.349999999999994
en:cheeses,1251.0,25.0,17.0,0.5,1.4,0.551181102362205,0.0,4.5,0.0,19.0,0.0
en:canned-foods,350.5,1.3275000000000001,0.3,1.1,0.8,0.31496062992126,55.0,52.0,2.0,3.8,53.5
en:sugared-beverages,180.0,0.0,0.0,9.9,0.01,0.00393700787401575,15.0,12.0,0.0,0.1,12.0
en:vegetables-based-foods,119.0,0.5,0.1,2.2,0.53,0.208661417322835,80.0,80.0,2.4,1.7,80.0
en:biscuits,1895.0,21.0,9.1,30.0,0.55,0.216535433070866,11.5,10.0,2.4,6.0,10.0
en:prepared-meats,1044.0,19.0,7.2,0.7,1.9352,0.7618897637795276,0.0,3.5,0.01,19.0,1.9
en:chocolates,2297.0,35.8,20.1,45.0,0.11,0.0433070866141732,0.0,14.0,4.6,7.0,14.0
en:sauces,615.0,7.1,1.0,4.5,1.7,0.669291338582677,0.0,60.0,0.9,1.45,54.0
en:alcoholic-beverages,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2.5,0.0,0.4,0.0
en:sweet-spreads,1027.0,0.21,0.05,54.6,0.02,0.0078740157480315,50.0,55.0,1.3,0.5,55.0
en:confectioneries,1724.0,13.0,3.0,51.0,0.1,0.0393700787401575,15.0,20.0,1.3,4.5,19.0
en:fresh-foods,554.0,7.3,2.2,1.7,0.9,0.3543307086614171,21.35,20.474,1.0,6.7,21.0
en:plant-based-spreads,1004.0,0.42,0.1,50.0,0.0254,0.01,50.5,55.0,1.5,0.5,55.0
en:fruit-based-beverages,188.0,0.0,0.0,10.0,0.0050799999999999994,0.002,50.0,50.0,0.2,0.3,50.0
en:salty-snacks,2096.0,27.45,3.1,2.7,1.524,0.6,46.5,39.1,4.0,6.7,40.0
en:fats,3367.0,91.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:seafood,761.0,10.1,2.0,0.5,1.2,0.47244094488189003,0.0,5.0,0.0,18.0,0.0
en:appetizers,2094.0,27.0,3.1,2.5,1.5725,0.619094488188976,35.0,27.0,4.0,6.4,27.0
en:juices-and-nectars,192.0,0.1,0.0,10.0,0.00766,0.0030150000000000003,50.0,51.0,0.3,0.5,50.0
en:yogurts,388.0,3.0,1.9,11.780000000000001,0.1016,0.04,9.2,8.0,0.1,3.6,8.225
en:fruit-preserves,975.0,0.2,0.01,54.0,0.0112,0.00440944881889764,50.0,55.0,1.3,0.5,55.0
en:fruit-juices-and-nectars,192.0,0.1,0.0,10.0,0.0050799999999999994,0.002,50.0,50.0,0.3,0.42,50.0
en:cakes,1774.0,21.0,6.8,30.0,0.54,0.21259842519685,30.0,10.0,1.8,5.4,11.5
en:canned-plant-based-foods,201.0,0.5,0.1,1.8,0.63,0.248031496062992,80.0,72.0,2.7,2.0,80.0
en:breads,1180.0,4.65,0.68,4.3,1.2,0.47244094488189003,0.0,0.0,4.0,9.1,0.0
en:non-sugared-beverages,88.0,0.0,0.0,5.0,0.01,0.00393700787401575,31.0,45.0,0.0,0.15,40.0
en:condiments,43.25,2.03,0.3,2.0,4.6,1.8110236220472402,0.0,61.0,1.7,3.7,56.2
en:jams,967.0,0.2,0.01,54.0,0.01185,0.004665354330708665,53.0,55.0,1.3,0.5,55.0
en:fishes,776.0,11.0,2.2,0.4,1.0922,0.43,0.0,3.0,0.0,20.0,0.0
en:meat-based-products,573.0,5.8,2.0,1.5,0.9,0.3543307086614171,28.0,19.9,1.5,7.67,20.7
en:hot-beverages,0.0,0.0,0.0,0.5,0.01,0.00393700787401575,0.0,0.0,0.1,0.5,0.0
en:fruit-juices,192.0,0.1,0.0,10.0,0.0050799999999999994,0.002,50.0,50.0,0.3,0.42,50.0
en:fruit-jams,967.0,0.2,0.01,54.0,0.015,0.00590551181102362,52.0,55.0,1.3,0.5,55.0
en:meals-with-meat,582.0,5.9,2.1,1.5,0.9,0.3543307086614171,28.0,19.0,1.5,7.8,20.2
en:dried-products,1225.0,2.2,0.5,10.8,0.395,0.155511811023622,100.0,92.0,5.0,4.0,95.0
en:seeds,1462.0,1.8,0.3,1.0,0.02,0.0078740157480315,80.0,80.0,5.775,9.3,80.0
en:pastas,1481.0,2.0,0.4,3.0,0.03,0.0118110236220472,3.5,14.825,3.0,12.0,13.5
en:carbonated-drinks,105.0,0.0,0.0,7.3,0.01,0.00393700787401575,12.0,12.0,0.0,0.0,12.0
en:milks,223.0,1.6,1.0,4.8,0.11,0.0433070866141732,0.0,0.0,0.0,3.2,0.0
en:salted-spreads,1144.5,24.5,8.0,0.8,1.2,0.47244094488189003,3.0,49.0,0.5,8.7,48.9
en:breakfast-cereals,1625.0,7.0,1.5,20.0,0.33,0.12992125984252,14.0,12.5,6.9,8.6,13.0
en:legumes-and-their-products,510.0,1.9,0.3,2.2,0.3,0.118110236220472,80.0,95.0,5.2,10.0,91.0
en:dark-chocolates,2314.0,39.0,23.0,31.85,0.02,0.0078740157480315,0.0,12.0,9.0,7.5,12.0
en:nuts-and-their-products,2501.0,49.0,5.7,5.6,0.06,0.0236220472440945,100.0,90.0,6.2,18.0,91.0
en:chips-and-fries,2175.0,32.0,2.9,1.6,1.3,0.5118110236220471,36.0,67.0,4.2,5.9,67.0
en:microwave-meals,552.0,5.2,1.8,1.6,0.7874,0.31,24.0,20.0,1.5,6.4,20.2
en:cow-cheeses,1361.0,27.0,18.0,0.5,1.5,0.590551181102362,0.0,0.0,0.0,21.0,0.0
en:wines,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.1,
en:canned-vegetables,142.0,0.42,0.1,2.12,0.65,0.255905511811024,80.0,80.0,2.8,1.6,80.0
en:beers,0.0,0.0,0.0,0.5,0.01,0.00393700787401575,0.0,0.0,0.0,0.4,0.0
en:frozen-desserts,845.0,8.5,5.4,24.0,0.1016,0.04,49.0,41.5,0.8,2.6,42.8
en:crisps,2199.5,32.0,3.0,2.0,1.32,0.5196850393700789,72.0,67.0,4.3,6.0,72.0
en:candies,1535.0,0.5,0.1,59.0,0.0699999999999999,0.0275590551181102,48.0,13.0,0.0,2.5,13.0
en:dairy-desserts,540.0,5.0,3.1,15.0,0.12,0.047244094488189003,3.9,6.4,0.2,3.9,6.0
en:french-cheeses,1305.0,26.0,18.0,0.5,1.41,0.5551181102362204,0.0,0.0,0.0,20.0,0.0
en:frozen-ready-made-meals,582.0,6.2,2.1,2.0,0.74,0.29133858267716495,25.5,24.3,1.5,6.3,25.0
en:ice-creams-and-sorbets,849.0,8.8,5.6,24.0,0.109991,0.0433035433070866,49.0,44.9,0.8,2.6,45.0
en:sodas,134.0,0.0,0.0,8.2,0.01,0.00393700787401575,12.0,12.0,0.0,0.0,12.0
en:chocolate-biscuits,2084.0,24.0,13.0,33.0,0.5334,0.21,0.0,5.25,3.2,6.5,3.1
en:vegetable-fats,3448.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:chocolate-candies,2184.0,30.0,16.0,49.0,0.17800000000000002,0.07003937007874014,0.0,16.75,2.0,6.0,15.649999999999999
en:herbal-teas,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:soups,167.0,1.6,0.5,1.6,0.7112,0.28,42.0,42.0,1.0,1.0,42.0
en:artificially-sweetened-beverages,50.0,0.0,0.0,1.6,0.02,0.0078740157480315,12.0,10.0,0.0,0.0,10.0
en:pasteurized-cheeses,1326.0,26.0,18.0,0.5,1.42,0.56,0.0,0.0,0.0,19.0,0.0
en:refrigerated-foods,732.0,8.4,2.3,2.1,0.98,0.38582677165354295,20.8,20.0,1.4,7.1,20.0
en:hams,527.0,4.3,1.6,0.6,1.94,0.7637795275590551,0.0,0.0,0.005,21.0,0.0
en:cereal-grains,1479.0,1.8,0.4,0.5,0.01,0.00393700787401575,31.0,27.0,3.2,8.0,31.0
en:sweeteners,1368.0,0.0,0.0,80.0,0.0,0.0,0.0,10.0,0.0,0.01,10.0
en:pastries,1770.0,19.35,9.0,30.0,0.42,0.165354330708661,0.0,27.0,1.6,5.1,26.5
en:milk-chocolates,2301.0,34.0,19.5,50.0,0.2,0.078740157480315,10.0,15.0,2.33,7.0,15.0
en:dried-plant-based-foods,1206.9,0.9,0.2,37.9,0.05,0.0196850393700787,100.0,100.0,6.7,3.0,100.0
en:compotes,267.0,0.3,0.06,13.0,0.00762,0.003,97.05000000000001,95.8,1.8,0.5,96.0
en:fresh-plant-based-foods,0.0,0.4,0.1,1.0,0.1016,0.04,100.0,100.0,2.0,1.9,100.0
en:meals-with-fish,653.0,8.3,1.8,1.3,1.0,0.393700787401575,20.8,19.0,0.9,8.3,19.0
en:fruits,247.0,0.4,0.1,10.7,0.0508,0.02,60.0,60.0,2.0,0.9,60.0
en:dry-pasta,1502.0,1.9,0.35,3.2,0.013000000000000001,0.005118110236220471,0.0,0.0,3.0,12.0,0.0
en:vegetable-oils,3550.0,99.9,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:crackers,2008.0,22.0,3.2,3.2,2.00152,0.7879999999999999,0.0,16.0,3.3,10.0,13.0
en:fruit-yogurts,406.0,2.9,1.8,13.0,0.1,0.0393700787401575,9.4,8.5,0.2,3.5,8.6
en:flakes,1632.0,9.5,1.9,16.7,0.12,0.047244094488189003,20.0,15.0,7.7,9.3,15.0
en:tomato-sauces,368.0,0.4,0.1,9.1,1.5,0.590551181102362,78.0,67.65,1.2,1.2,68.5
en:cereal-flakes,1632.0,9.6,1.9,16.9,0.11549999999999999,0.0455720472440945,20.0,15.0,7.7,9.3,15.0
en:potato-crisps,2238.0,34.0,3.1,1.1,1.3,0.5118110236220471,0.0,0.0,4.5,6.0,0.0
en:dried-products-to-be-rehydrated,1238.0,3.2,1.1,3.3,1.0,0.393700787401575,19.5,15.5,1.7,6.5,16.8
en:olive-tree-products,1399.5,91.0,12.0,0.0,0.02,0.0078740157480315,90.0,91.0,2.0,0.0,90.0
en:baby-foods,283.0,2.3,0.57,5.5,0.06731000000000001,0.026500000000000003,50.5,50.0,1.4,2.4,50.0
en:wines-from-france,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.3,
en:pizzas-pies-and-quiches,979.0,9.1,4.2,3.0,1.2,0.47244094488189003,5.0,18.23,2.0,9.7,16.7
en:bars,1890.0,20.0,7.9,34.650000000000006,0.3,0.118110236220472,22.0,14.9,4.3,6.8,15.0
en:ice-creams,849.0,8.8,5.6,24.0,0.109991,0.0433035433070866,49.0,44.9,0.8,2.6,45.0
en:canned-fishes,837.0,13.0,2.8,0.1,1.0,0.393700787401575,0.0,4.3,0.0,20.7,0.0
en:waters,0.0,0.0,0.0,0.0,0.01,0.00393700787401575,0.0,0.0,0.0,0.0,0.0
en:viennoiseries,1525.5,14.0,8.2,14.5,0.9,0.3543307086614171,0.0,10.649999999999999,2.0,7.6,7.5
en:squeezed-juices,192.0,0.0,0.0,10.0,0.006,0.00236220472440945,100.0,100.0,0.3,0.5,100.0
en:pasta-dishes,696.0,5.9,2.3,2.3,0.9,0.3543307086614171,11.5,17.95,1.6,7.1,16.1
en:berry-jams,975.0,0.2,0.02,53.9,0.01,0.00393700787401575,50.0,55.0,1.5,0.5,55.0
en:coffees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
en:fresh-meals,715.0,7.8,2.1,2.0,1.0,0.393700787401575,29.65,37.0,1.7,7.2,34.0
en:spreadable-fats,3033.0,80.0,53.0,0.6,0.4,0.15748031496063,0.0,0.0,0.0,0.7,0.0
en:farming-products,1260.0,0.5,0.01,64.5,0.02,0.0078740157480315,0.0,0.0,0.0,0.5,0.0
en:nuts,2501.0,49.0,5.7,5.6,0.06,0.0236220472440945,100.0,90.0,6.2,18.0,91.0
en:spices,0.0,0.4,0.01,0.6499999999999999,0.95,0.374015748031496,0.0,30.5,1.2,1.0,0.0
en:poultries,552.0,4.6,1.0,0.9,1.5,0.590551181102362,0.0,10.5,0.5,20.0,0.0
en:canned-legumes,314.0,0.5,0.1,0.9,0.68,0.26771653543307106,80.0,80.0,4.2,4.62,80.0
en:canned-meals,409.0,3.9,1.1,1.4,0.9,0.3543307086614171,41.5,38.675,1.8,5.0,39.65
en:refrigerated-meals,732.0,8.5,1.9,2.0,1.0,0.393700787401575,32.5,24.0,1.7,7.1185,25.0
en:legumes,506.5,1.9,0.3,2.2,0.3,0.118110236220472,80.0,95.0,5.19,9.8,91.0
en:dried-fruits,1280.0,0.7,0.2,46.0,0.03,0.0118110236220472,100.0,100.0,6.7,2.8,100.0
en:pickles,515.5,13.0,2.0,0.5,3.0,1.1811023622047199,75.0,75.0,2.6,1.2,75.0
en:fresh-vegetables,0.0,0.3,0.1,1.09,0.09906000000000001,0.039,100.0,100.0,2.0,1.6,100.0
en:poultry-meals,622.0,6.1,2.0,1.4,0.85,0.334645669291339,23.8,19.2,1.24,8.4,21.0
en:plant-based-pickles,519.0,13.0,2.0,0.5,3.0,1.1811023622047199,75.0,75.0,2.7,1.2,75.0
en:syrups,1268.0,0.0,0.0,73.0,0.01,0.00393700787401575,16.0,12.0,0.0,0.0,13.0
en:frozen-plant-based-foods,167.0,0.5,0.1,2.1,0.05,0.0196850393700787,100.0,100.0,2.8,2.1,100.0
en:sandwiches,1017.0,10.3,3.0,3.0,1.3,0.5118110236220471,0.0,15.55,2.1,10.6,15.25
en:white-hams,482.0,3.0,1.2,0.6,1.88,0.740157480314961,0.0,0.0,0.5,21.0,0.0
en:apple-compotes,267.0,0.3,0.1,13.0,0.005,0.00196850393700787,99.0,96.2,1.8,0.4,97.0
en:milk-substitute,213.0,1.88,0.3,4.0,0.1,0.0393700787401575,34.0,6.8,0.5,1.2,6.8
en:tomatoes-and-tomato-products,96.0,0.3,0.05,3.9,0.38,0.14960629921259802,99.4,99.3,1.3,1.3,99.4
en:bonbons,2264.0,33.0,17.0,49.0,0.13,0.0511811023622047,0.0,16.0,2.5,5.6,15.6
en:teas,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:plant-based-pates,1014.0,0.5,0.1,47.4,0.02,0.0078740157480315,50.0,50.0,1.4,0.5,50.0
en:plant-milks,213.0,1.8,0.3,4.0,0.1,0.0393700787401575,34.0,7.0,0.5,1.2,7.0
en:mixed-cereal-flakes,1764.0,13.350000000000001,3.05,19.0,0.13,0.0511811023622047,20.0,15.0,7.8,9.2,15.0
en:chocolate-cakes,1841.0,24.0,7.9,31.95,0.48,0.18897637795275601,5.0,6.1,2.3,5.7,6.1
en:sausages,1109.0,23.0,8.75,0.9,1.9,0.748031496062992,0.0,18.0,0.5,13.9,0.0
en:mueslis,1766.0,13.4,3.1,19.0,0.12,0.047244094488189003,20.0,15.0,7.8,9.2,15.0
fr:saucissons,1676.0,32.349999999999994,13.0,1.0,4.3,1.69291338582677,0.0,4.35,0.0,25.0,0.0
en:animal-fats,3054.0,82.0,55.0,0.6,0.3,0.118110236220472,0.0,0.0,0.0,0.7,0.0
en:rices,1473.0,0.96,0.2,0.3,0.01,0.00393700787401575,,23.0,1.435,7.4,23.0
en:milkfat,3054.0,82.0,55.0,0.6,0.3,0.118110236220472,0.0,0.0,0.0,0.7,0.0
en:butters,3054.0,82.0,55.0,0.6,0.3,0.118110236220472,0.0,0.0,0.0,0.7,0.0
en:vegetable-soups,158.0,1.6,0.5,1.9,0.699999999999999,0.275590551181102,42.0,42.5,1.1,0.8,42.0
en:chickens,585.0,5.1,1.0,0.9,1.4,0.551181102362205,0.0,16.0,0.5,20.0,0.0
en:spring-waters,0.0,0.0,0.0,0.0,0.004064,0.0016,0.0,0.0,0.0,0.0,0.0
en:preparations-made-from-fish-meat,753.0,10.3,1.9,1.2,1.1,0.433070866141732,,10.6,0.6,8.5,10.6
en:prepared-vegetables,339.0,4.3,0.54,3.2,0.7496499999999999,0.2951377952755905,73.0,80.0,2.6,1.4,79.0
en:plant-based-meals,598.0,4.7,0.7,2.19,0.846582,0.3333,45.5,50.0,3.1,4.5,48.0
en:culinary-plants,0.0,0.6,0.1,1.7,0.22,0.0866141732283465,56.2,65.0,2.05,1.4,65.0
en:pizzas,977.9,9.1,4.2,3.0,1.2,0.47244094488189003,5.0,18.23,2.0,9.7,16.7
fr:pates-a-tartiner,2272.0,32.0,8.0,48.8,0.1,0.0393700787401575,28.0,16.0,3.5,6.1,16.0
en:stuffed-pastas,887.0,5.6,2.0,2.4,1.0,0.393700787401575,5.25,17.65,1.9,8.6,15.600000000000001
en:shortbread-cookies,2084.0,23.5,14.149999999999999,25.3,0.6652,0.2618897637795275,0.0,10.0,2.1,6.05,8.0
en:bee-products,1347.0,0.0,0.0,79.0,0.003,0.0011811023622047198,0.0,0.0,0.0,0.4,0.0
en:legume-seeds,1130.0,1.4,0.2,1.8,0.06,0.0236220472440945,85.5,92.0,11.0,19.9,91.0
en:pork,753.0,8.2,3.3,0.8,1.57,0.6181102362204721,10.0,16.0,0.9,15.0,15.75
en:fish-and-meat-and-eggs,2065.0,51.0,22.0,1.2,1.2,0.47244094488189003,20.5,25.0,0.45,7.3,25.0
en:brioches,1510.0,13.0,7.6,16.0,0.8999999999999989,0.3543307086614171,0.0,7.5,2.0,7.7,3.5
en:dairy-drinks,297.0,1.5,0.9,10.9,0.1,0.0393700787401575,5.0,5.05,0.1,2.9,5.0
en:potato-crisps-in-sunflower-oil,2267.0,34.0,3.1,0.8,1.3,0.5118110236220471,,,4.8,6.0,
en:soft-cheeses-with-bloomy-rind,1180.0,23.0,16.0,0.5,1.5,0.590551181102362,,,0.0,19.0,
en:rillettes,1123.5,22.0,8.3,0.5,1.13,0.44488188976377896,,19.0,0.5,15.0,19.0
en:beef-dishes,494.0,4.6,1.6,1.9,0.8,0.31496062992126,33.95,18.0,1.5,6.6,20.2
en:cream-cheeses,598.0,10.0,6.4,3.33,0.2,0.078740157480315,3.0,3.0,0.0,7.3,3.0
en:pulses,1161.0,1.3,0.2,1.8,0.06,0.0236220472440945,85.5,92.0,11.0,20.0,91.0
en:prepared-salads,585.5,7.7,1.0,2.0,0.88,0.346456692913386,36.7,41.5,1.8,5.7,39.4
en:tunas,649.0,7.85,1.2,0.1,1.0,0.393700787401575,1.5,6.8,0.0,23.1,3.0
en:frozen-vegetables,146.5,0.5,0.1,1.9,0.0508,0.02,100.0,100.0,2.8,2.2,100.0
en:christmas-foods-and-drinks,2093.0,28.0,9.0,49.0,0.12,0.047244094488189003,50.0,33.0,2.7,6.5,33.0
en:apple-juices,192.0,0.0,0.0,10.5,0.01,0.00393700787401575,100.0,100.0,0.1,0.1,100.0
en:breaded-products,878.0,10.0,1.6,1.4,1.1,0.433070866141732,0.0,22.5,1.2,12.55,14.0
en:italian-cheeses,1172.0,23.9,16.0,0.7,0.6325000000000001,0.249015748031496,0.0,0.0,0.0,18.0,0.0
en:smoked-fishes,765.0,10.1,2.0,0.4,2.9999999999999907,1.1811023622047199,0.0,0.0,0.0,22.0,0.0
en:red-wines,0.0,0.5,1.0,1.0,0.0,0.0,,,0.0,0.1,
en:salmons,787.0,11.0,2.13,0.4,2.9,1.14173228346457,0.0,0.0,0.0,22.0,0.0
en:mineral-waters,0.0,0.0,0.0,0.0,0.0043561,0.001715,0.0,0.0,0.0,0.0,0.0
en:olive-oils,3448.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:flavoured-syrups,1251.0,0.0,0.0,73.1,0.01,0.00393700787401575,15.5,12.0,0.0,0.0,13.0
,874.0,5.9,1.7,4.5,0.37999999999999895,0.14960629921259802,43.0,48.0,1.5,5.1,46.95
en:orange-juices,184.0,0.1,0.0,9.0,0.0,0.0,100.0,100.0,0.4,0.7,100.0
en:honeys,1343.0,0.0,0.0,79.0,0.0014,0.000551181102362205,0.0,0.0,0.0,0.4,0.0
en:instant-hot-beverages,1410.0,3.0,1.5,54.2,0.14,0.0551181102362205,0.0,0.0,5.9,5.0,0.0
en:flours,1456.0,1.8,0.3,1.7,0.01,0.00393700787401575,50.0,100.0,4.2,10.5,100.0
en:meat-analogues,735.0,8.4,1.1,1.0,1.105,0.43503937007874,0.0,25.4,3.5,15.0,23.0
en:ketchup,464.0,0.0,0.0,22.8,2.39014,0.941,0.0,62.0,0.0,1.0,61.0
en:fruit-nectars,200.0,0.1,0.0,10.9,0.01,0.00393700787401575,50.0,50.0,0.3,0.3,50.0
en:creams,1198.0,29.5,19.0,3.3,0.1,0.0393700787401575,0.0,0.0,0.0,2.4,0.0
en:meals-with-chicken,583.0,5.3,1.5,1.7,0.8,0.31496062992126,23.0,19.3,1.3,7.5,21.0
en:wheat-pasta,1494.0,1.8,0.35,3.25,0.013000000000000001,0.005118110236220471,0.0,0.0,3.04,12.0,0.0
en:lagers,0.0,0.0,0.0,0.1,0.01,0.00393700787401575,,,0.0,0.4,
en:fish-fillets,774.5,12.0,2.57,0.3,1.0,0.393700787401575,0.0,5.0,0.0,17.0,4.3
en:cooked-pressed-cheeses,1598.0,29.5,20.0,0.1,0.8,0.31496062992126,0.0,0.0,0.0,27.0,0.0
en:special-breads,1159.0,4.1,0.6,5.3,1.13642,0.4474094488188975,,14.0,2.8,9.0,14.0
en:noodles,1481.0,3.3,1.2,2.1,0.8,0.31496062992126,0.0,0.0,2.8,9.6,0.0
en:foies-gras,2121.0,52.7,22.3,1.2,1.2,0.47244094488189003,0.0,30.0,0.0,7.0,0.0
en:leaf-vegetables,79.0,0.4,0.1,0.9,0.1,0.0393700787401575,100.0,100.0,2.0,2.0,100.0
en:ice-cream-tubs,887.0,9.8,6.2,23.0,0.139,0.0547244094488189,0.0,8.2,0.6,3.3,7.05
en:pork-meals,738.5,7.9,3.2,1.7,1.1,0.433070866141732,34.75,17.0,1.7,8.1,17.0
en:artisan-products,0.0,7.9,2.4,10.0,0.6,0.23622047244094502,64.0,58.0,1.7,6.45,59.0
en:beef,573.0,6.0,2.4,1.0,0.76,0.299212598425197,30.0,17.0,1.2,12.06,20.0
en:sweetened-yogurts,397.0,3.0,1.9,12.7,0.1009269,0.039735,9.5,9.0,0.1,3.4,9.1
en:cookies,2071.0,24.0,12.0,33.0,0.63,0.248031496062992,7.5,9.96,3.2,6.1,9.96
en:olives,663.0,16.3,2.79,0.1,3.5,1.3779527559055098,90.0,91.85,3.7,1.2,91.0
en:pies,1218.0,13.9,6.9,19.6,0.48,0.18897637795275601,7.3,19.5,1.7,5.1,19.0
en:durum-wheat-pasta,1494.0,1.8,0.35,3.3,0.013000000000000001,0.005118110236220471,0.0,0.0,3.0,12.0,0.0
en:chocolate-bars,2138.0,27.3,15.6,48.0,0.28,0.110236220472441,0.0,15.0,1.76,6.7,14.5
en:plain-yogurts,280.0,3.4,2.2,4.44,0.12,0.047244094488189003,0.0,0.0,0.0,4.0,0.0
en:mushrooms-and-their-products,77.0,0.43,0.1,0.5,0.6,0.23622047244094502,100.0,100.0,2.1500000000000004,2.2,100.0
en:mustards,650.0,11.0,0.8,2.5,5.2,2.04724409448819,0.0,0.0,2.45,7.0,0.0
en:homogenized-milks,195.0,1.6,1.0,4.8,0.119634,0.0471,0.0,0.0,0.0,3.2,0.0
en:dietary-supplements,1468.0,4.55,1.35,3.3,0.3,0.118110236220472,0.0,4.9,3.33,25.0,4.1
en:unpasteurised-cheeses,1272.0,26.0,18.0,0.5,1.6,0.62992125984252,0.0,0.0,0.0,20.4,0.0
en:colas,110.0,0.0,0.0,8.0,0.01,0.00393700787401575,0.0,0.0,0.0,0.0,0.0
en:flavoured-potato-crisps,2230.0,33.0,3.0,2.2,1.4,0.551181102362205,,,4.5,6.1,
en:frozen-pizzas-and-pies,951.0,8.5,3.8,3.3,1.2,0.47244094488189003,16.7,18.36,1.9249999999999998,9.6,18.23
en:extra-virgin-olive-oils,3462.0,93.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:chocolate-desserts,665.0,6.2,4.0,17.4,0.16,0.062992125984252,0.0,0.4,1.3,3.9,0.2
en:foies-gras-from-ducks,2138.0,53.0,22.9,1.3,1.2,0.47244094488189003,0.0,0.0,0.0,7.1,0.0
en:chocolate-spreads,2276.0,32.1,8.0,50.0,0.1,0.0393700787401575,15.0,15.0,3.6,6.2,15.0
en:multifruit-juices,200.0,0.1,0.0,10.3,0.0,0.0,100.0,100.0,0.5,0.5,100.0
en:sliced-breads,1119.5,4.3,0.5,5.7,1.13,0.44488188976377896,0.0,0.0,3.7,8.2,0.0
en:waffles,1908.0,23.0,12.0,31.0,0.6,0.23622047244094502,0.0,36.5,1.8,6.0,0.0
en:sardines,929.0,15.0,3.4,0.1,1.0,0.393700787401575,0.0,0.0,0.0,21.2,0.0
en:terrine,1247.0,25.6,9.7,0.6,1.59,0.6259842519685039,0.0,4.9,0.4,14.0,4.45
en:gelified-candies,1439.0,0.5,0.1,56.0,0.08,0.031496062992126,0.0,0.0,0.1,4.5,0.0
en:industrial-cheese,1297.0,27.0,18.0,0.5,1.4,0.551181102362205,3.0,3.0,0.0,18.0,3.0
en:smoked-salmons,778.0,10.850000000000001,2.2,0.44,2.9999999999999907,1.1811023622047199,0.0,0.0,0.0,22.0,0.0
