,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:gaufrettes,2121.0,25.0,13.0,36.0,0.5,0.19685039370078697,,,1.5,5.0,
fr:popcorn-au-caramel,1744.0,9.0,5.0,61.95,0.315,0.1240157480314961,,,6.4,3.85,
fr:gateaux-sales,1313.5,20.05,4.550000000000001,2.85,1.3599999999999999,0.5354330708661419,,,4.65,12.65,
fr:saint-amour,0.0,,,,,,,,,,
nl:fruits-et-produits-derives,661.0,0.25,0.05,8.25,0.0,0.0,,55.0,0.9,0.65,55.0
fr:pates-de-ble-complet,1424.5,2.2,0.5,3.0,0.013000000000000001,0.005118110236220471,,,7.5,12.0,
fr:panetonnes,1675.5,18.5,10.3,23.0,0.44499999999999995,0.175196850393701,,,,7.85,
en:fructose,1448.0,0.05,0.05,54.95,0.0,0.0,,99.0,0.0,0.05,99.0
fr:cremes-renversees,504.5,4.1,2.3,14.0,0.16,0.06299212598425194,,,0.5,5.0,
fr:yaourts-a-la-confiture-de-lait,682.0,8.4,5.2,9.6,0.16,0.062992125984252,,,0.0,5.9,
fr:sorbets-a-l-ananas,519.0,0.1,0.0,23.6,0.0,0.0,59.0,59.0,0.4,0.295,59.0
fr:cones-vanille,1121.0,13.7,10.6,25.0,0.11,0.0433070866141732,,,1.1,3.7,
fr:tartares-de-saumon,797.5,12.85,1.9500000000000002,0.1505,1.22,0.48031496062992146,,,0.75,17.7,
fr:chicken-and-mushrooms-risottos,588.0,6.25,3.55,1.3,0.6548,0.257795275590551,,,0.55,4.15,
fr:poelee-de-legumes,234.0,3.6,0.4,3.1,0.38,0.14960629921259802,97.0,97.0,2.8,1.3,97.0
en:frozen-avocados,766.0,18.15,4.6,0.6,0.2339,0.0920866141732285,,99.9,4.6,1.1,99.9
fr:pains-surprises,1013.0,12.55,6.8,2.55,1.29,0.5078740157480315,,,2.2,9.25,
fr:sorbets-au-pamplemousse,466.5,0.1,0.005,21.25,0.01499999999999995,0.0059055118110236,,53.5,0.5,0.4,53.5
it:plats-prepares,717.0,7.65,2.5,1.55,1.25,0.4921259842519686,,20.0,1.2,6.550000000000001,20.0
it:surgeles,640.0,4.800000000000001,2.0,1.5,0.75,0.295275590551181,,,2.8,5.7,
fr:panais,99.5,0.8,0.15000000000000002,2.5999999999999996,0.37,0.14566929133858272,,,3.95,1.05,
fr:lentilles-vertes-bio,1323.5,1.7,0.2,1.0,0.0100838,0.00397,,,21.5,25.25,
fr:biscottes-multicereales,774.0,8.6,1.2,5.5,1.65,0.6496062992125985,,,5.45,11.7,
en:shelled-pistachios,2484.0,47.4,5.57,6.779999999999999,0.02,0.007874015748031475,,,10.65,21.8,
en:common-wheats,1418.5,1.85,0.35,1.65,0.01,0.00393700787401575,,,8.65,11.8,
fr:couscous-demi-complets,1490.0,2.0,0.3,3.0,0.01,0.00393700787401575,,,5.0,11.0,
en:lentil-flours,880.0,1.2,0.11,1.0,0.01,0.00393700787401575,,,11.2,24.0,
en:soybean-flours,1627.5,13.6,1.95,7.25,0.025,0.009842519685039349,,,15.55,42.45,
en:lemon-soy-yogurts,322.5,2.0,0.3,10.2,0.175,0.06889763779527561,,10.6,0.8999999999999999,3.6500000000000004,10.6
en:banana-soy-yogurts,338.5,2.25,0.3,10.1,0.0675,0.0265748031496063,,10.0,0.3,3.9499999999999997,10.0
es:desserts-au-soja,402.5,2.0,0.3,13.9,0.16499999999999998,0.06496062992125985,,,0.3,3.55,
es:desserts-vegetaliens,402.5,2.0,0.3,13.9,0.16499999999999998,0.06496062992125985,,,0.3,3.55,
fr:pommes-de-terre-ditta,337.0,0.22,0.026000000000000002,0.7,0.097028,0.0382,,,1.9749999999999999,1.9,
fr:fougasses,1225.0,7.25,3.4,1.2,1.6,0.62992125984252,,,2.5,11.0,
fr:plats-prepares-de-saison,542.0,4.95,1.85,2.75,0.5,0.1968503937007875,,33.75,1.55,9.2,33.75
fr:plats-prepares-sains,579.5,6.1,1.9500000000000002,2.55,0.5,0.1968503937007875,,40.9,1.8,6.9,40.9
fr:terrines-de-poissons,846.7,15.5,2.95,1.25,1.2,0.47244094488189003,,26.0,1.0,13.6,26.0
fr:pate-de-pistache,2234.0,35.1,4.25,32.05,0.028205,0.011104330708661424,,,8.100000000000001,11.750499999999999,
en:ground-dried-tarragon,0.0,0.0,0.0,0.0,,,,,,0.0,
fr:rhums-arranges,0.0,0.1,0.1,0.1,,,,,,20.0,
fr:croquets-aux-amandes,1928.245,15.15,1.04,33.4,0.26797000000000004,0.10550000000000001,,13.5,3.0,7.65,13.5
en:soybean-oils,3615.0,100.0,14.0,0.0,0.0,0.0,,,0.0,0.0,
fr:sauces-bearnaise,1904.0,47.05,5.75,3.1,1.46,0.5748031496062995,,,0.2,1.25,
en:baeri-caviars,1042.0,17.2,3.7,0.1,3.400000000000005,1.338582677165355,,,0.0,26.8,
fr:puree-de-pommes,264.0,0.55,0.12000000000000001,10.4,0.0,0.0,,,2.2,0.45,
fr:confitures-de-noel,1019.2,0.3,0.05,55.5,0.00085,0.0003346456692913385,57.5,57.5,0.4,0.6000000000000001,57.5
fr:pouligny-saint-pierre,1220.5,24.0,17.25,1.15,1.35,0.531496062992126,,,0.0,18.0,
fr:plats-a-base-d-oie,758.5,9.4,4.1,1.4,0.98,0.3858267716535435,,,0.6,17.05,
en:duck-sausages,1046.0,20.0,6.9,0.9,2.3499999999999996,0.9251968503937009,,,0.0,17.0,
fr:riz-long-complet,1509.0,2.1,0.6499999999999999,0.6499999999999999,0.026000000000000002,0.0102362204724409,,,3.85,8.899999999999999,
fr:desserts-lactes-a-la-noix-de-coco,602.0,9.55,6.6,9.1,0.127,0.05,,,0.1,2.9,
fr:huiles-d-olive-aromatisees,3448.0,91.8,13.35,0.0,0.0,0.0,,,0.0,0.0,
en:onion-jams,761.5,0.0571,0.0357,45.3,0.0041656,0.00164,,,1.055,0.5479999999999999,
fr:petit-chablis,0.0,,,,,,,,,,
fr:puy-de-dome,0.0,,,,,,,,,,
fr:nectars-de-mirabelle,201.0,0.5,0.1,11.0,0.01,0.00393700787401575,47.0,47.0,0.2,0.5,47.0
fr:nectars-de-prune,201.0,0.5,0.1,11.0,0.01,0.00393700787401575,47.0,47.0,0.9,0.5,47.0
fr:olives-et-fromage,843.5,18.5,6.6,0.5,2.9,1.141732283464565,,,2.7,5.75,
fr:burrata-au-lait-de-bufflonne,1180.0,26.0,17.5,0.8999999999999999,0.52,0.20472440944881898,,,0.0,11.0,
fr:cocktail,193.0,0.5,0.5,6.3,0.44,0.173228346456693,,,0.55,0.5,
fr:gateaux-nantais,1765.5,23.65,9.649999999999999,36.2,0.35,0.137795275590551,,,0.0,6.15,
fr:conchiglie,1503.0,1.5,0.3,2.5,0.01,0.00393700787401575,0.0,0.0,3.0,12.0,0.0
fr:cocktails-d-olives,801.0,19.0,2.5949999999999998,0.6,3.0999999999999996,1.2204724409448802,,,,1.65,
